bricklink_id,rebrickable_id,ldraw_file,name,name_zh,color,color_zh,bricklink_color_id,ldraw_color,qty
3027,3027,3027.dat,"Plate 6 x 16",6×16 薄板,Black,黑,11,0,1
3001,3001,3001.dat,"Brick 2 x 4",2×4 磚,Dark Bluish Gray,深藍灰,85,72,2
3668,3668,3668.dat,"Brick, Modified 2 x 6 x 1 1/3 with Axle Holes",2×6 輪軸磚,Dark Bluish Gray,深藍灰,85,72,2
3958,3958,3958.dat,"Plate 6 x 6",6×6 薄板,White,白,1,15,2
41539,41539,41539.dat,"Plate 8 x 8",8×8 薄板,White,白,1,15,1
3023,3023,3023b.dat,"Plate 1 x 2",1×2 薄板,Trans-Clear,透明,12,47,4
3460,3460,3460.dat,"Plate 1 x 8",1×8 薄板,White,白,1,15,1
3795,3795,3795.dat,"Plate 2 x 6",2×6 薄板,White,白,1,15,1
2456,2456,2456.dat,"Brick 2 x 6",2×6 磚,White,白,1,15,4
3005,3005,3005.dat,"Brick 1 x 1",1×1 磚,White,白,1,15,2
3008,3008,3008.dat,"Brick 1 x 8",1×8 磚,White,白,1,15,4
3622,3622,3622.dat,"Brick 1 x 3",1×3 磚,White,白,1,15,2
93606,93606,93606.dat,"Slope, Curved 4 x 2 No Studs",4×2 曲面磚,White,白,1,15,4
3024,3024,3024.dat,"Plate 1 x 1",1×1 薄板,White,白,1,15,12
3710,3710,3710.dat,"Plate 1 x 4",1×4 薄板,White,白,1,15,1
3456,3456,3456.dat,"Plate 6 x 14",6×14 薄板,White,白,1,15,1
3666,3666,3666.dat,"Plate 1 x 6",1×6 薄板,White,白,1,15,2
3023,3023,3023b.dat,"Plate 1 x 2",1×2 薄板,Trans-Red,透明紅,17,36,4
2456,2456,2456.dat,"Brick 2 x 6",2×6 磚,Black,黑,11,0,2
3298,3298,3298.dat,"Slope 33 3 x 2",33° 3×2 斜面磚,Black,黑,11,0,3
4286,4286,4286.dat,"Slope 33 3 x 1",33° 3×1 斜面磚,Black,黑,11,0,2
3003,3003,3003.dat,"Brick 2 x 2",2×2 磚,Black,黑,11,0,2
3005,3005,3005.dat,"Brick 1 x 1",1×1 磚,Black,黑,11,0,6
3622,3622,3622.dat,"Brick 1 x 3",1×3 磚,Black,黑,11,0,2
24309,24309,24309.dat,"Slope, Curved 3 x 2 No Studs",3×2 曲面磚,White,白,1,15,3
50950,50950,50950.dat,"Slope, Curved 3 x 1 No Studs",3×1 曲面磚,White,白,1,15,2
24309,24309,24309.dat,"Slope, Curved 3 x 2 No Studs",3×2 曲面磚,Black,黑,11,0,6
3795,3795,3795.dat,"Plate 2 x 6",2×6 薄板,Black,黑,11,0,2
50950,50950,50950.dat,"Slope, Curved 3 x 1 No Studs",3×1 曲面磚,Black,黑,11,0,4
3958,3958,3958.dat,"Plate 6 x 6",6×6 薄板,Black,黑,11,0,1
85984,85984,85984.dat,"Slope 30 1 x 2 x 2/3",30° 1×2 斜面,Black,黑,11,0,6
69729,69729,69729.dat,"Tile 2 x 6",2×6 平滑片,Black,黑,11,0,3
3004,3004,3004.dat,"Brick 1 x 2",1×2 磚,White,白,1,15,4
3010,3010,3010.dat,"Brick 1 x 4",1×4 磚,White,白,1,15,2
3023,3023,3023b.dat,"Plate 1 x 2",1×2 薄板,White,白,1,15,2
3003,3003,3003.dat,"Brick 2 x 2",2×2 磚,White,白,1,15,2
3034,3034,3034.dat,"Plate 2 x 8",2×8 薄板,Black,黑,11,0,2
3460,3460,3460.dat,"Plate 1 x 8",1×8 薄板,Black,黑,11,0,2
3749,3749,3749.dat,"Technic, Axle Pin without Friction Ridges",科技軸銷,Tan,棕黃,2,19,4
72206pb01,72206,72206p01.dat,"Wheel 24 x 12 with Black Tire",24×12 輪圈含輪胎,Dark Bluish Gray,深藍灰,85,72,4
